Ìאדאחטם,Êאעודמנטÿ,Áנוםה,Ìמהוכü,Öגוע,RAM,ROM,Öוםא,Ñסûכךא םא טחמבנאזוםטו,Ñסûכךא,Ðויעטםד,Êמכ-גמ מעחûגמג,Êמה ןנמהףךעא
לגטהומ,סלאנעפמםû,huawei,y5 lite,modern black,1,16,5990,//img.mvideo.ru/pdb/small_pic/480/30044265b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y5-lite-modern-black-dra-lx5-30044265,2.9,38,30044265
לגטהומ,סלאנעפמםû,zte,blade a3,2020violet,0,32,5990,//img.mvideo.ru/pdb/small_pic/480/30050731b.jpg,https://www.mvideo.ru/products/smartfon-zte-blade-a3-2020-nfc-violet-30050731,5.0,2,30050731
לגטהומ,סלאנעפמםû,nokia,1.3,cyan,1,16,5990,//img.mvideo.ru/pdb/small_pic/480/30050272b.jpg,https://www.mvideo.ru/products/smartfon-nokia-13-16gb-cyan-ta-1205-30050272,5.0,1,30050272
לגטהומ,סלאנעפמםû,samsung,galaxy a01,black,2,16,6990,//img.mvideo.ru/pdb/small_pic/480/30048061b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a01-black-sm-a015f-ds-30048061,4.4,35,30048061
לגטהומ,סלאנעפמםû,honor,9s,red,2,32,6990,//img.mvideo.ru/pdb/small_pic/480/30049772b.jpg,https://www.mvideo.ru/products/smartfon-honor-9s-red-dua-lx9-30049772,4.8,14,30049772
לגטהומ,סלאנעפמםû,samsung,galaxy a01,blue,2,16,6990,//img.mvideo.ru/pdb/small_pic/480/30048060b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a01-blue-sm-a015f-ds-30048060,4.2,29,30048060
לגטהומ,סלאנעפמםû,honor,9s,black,2,32,6990,//img.mvideo.ru/pdb/small_pic/480/30049770b.jpg,https://www.mvideo.ru/products/smartfon-honor-9s-black-dua-lx9-30049770,4.8,20,30049770
לגטהומ,סלאנעפמםû,honor,9s,blue,2,32,6990,//img.mvideo.ru/pdb/small_pic/480/30049771b.jpg,https://www.mvideo.ru/products/smartfon-honor-9s-blue-dua-lx9-30049771,4.4,13,30049771
לגטהומ,סלאנעפמםû,samsung,galaxy a01,red,2,16,6990,//img.mvideo.ru/pdb/small_pic/480/30047959b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a01-red-sm-a015f-ds-30047959,4.6,21,30047959
לגטהומ,סלאנעפמםû,huawei,y5p,midnight black,2,32,6990,//img.mvideo.ru/pdb/small_pic/480/30049668b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y5p-midnight-black-dra-lx9-30049668,5.0,22,30049668
לגטהומ,סלאנעפמםû,huawei,y5p,mint green,2,32,6990,//img.mvideo.ru/pdb/small_pic/480/30049820b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y5p-mint-green-dra-lx9-30049820,4.6,5,30049820
לגטהומ,סלאנעפמםû,huawei,y5p,phantom blue,2,32,6990,//img.mvideo.ru/pdb/small_pic/480/30049669b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y5p-phantom-blue-dra-lx9-30049669,5.0,2,30049669
לגטהומ,סלאנעפמםû,xiaomi,redmi 9a,granite gray,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30051224b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9a-32gb-granite-gray-30051224,4.0,9,30051224
לגטהומ,סלאנעפמםû,xiaomi,redmi 9a,sky blue,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30051225b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9a-32gb-sky-blue-30051225,4.5,4,30051225
לגטהומ,סלאנעפמםû,xiaomi,redmi 9a,peacock green,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30051226b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9a-32gb-peacock-green-30051226,4.6,8,30051226
לגטהומ,סלאנעפמםû,vivo,y91c,קונםûי מךואם,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30043131b.jpg,https://www.mvideo.ru/products/smartfon-vivo-y91c-chernyi-okean-1820-30043131,4.7,118,30043131
לגטהומ,סלאנעפמםû,vivo,y91c,ךנאסםûי חאךאע,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30043132b.jpg,https://www.mvideo.ru/products/smartfon-vivo-y91c-krasnyi-zakat-1820-30043132,4.8,59,30043132
לגטהומ,סלאנעפמםû,vivo,y1s,מכטגךמגûי ק¸נםûי,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30051298b.jpg,https://www.mvideo.ru/products/smartfon-vivo-y1s-olivkovyi-chernyi-2015-30051298,5.0,9,30051298
לגטהומ,סלאנעפמםû,realme,c11,mint green,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30051413b.jpg,https://www.mvideo.ru/products/smartfon-realme-c11-232gb-mint-green-rmx2185-30051413,4.8,11,30051413
לגטהומ,סלאנעפמםû,huawei,y6,classic black,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30043541b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y6-2019-classic-black-mrd-lx1f-30043541,4.8,19,30043541
לגטהומ,סלאנעפמםû,huawei,y6,amber brown,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30042800b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y6-2019-mrd-lx1f-amber-brown-30042800,4.3,12,30042800
לגטהומ,סלאנעפמםû,zte,blade a5,aquamarine,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30047386b.jpg,https://www.mvideo.ru/products/smartfon-zte-blade-a5-2020-aquamarine-30047386,5.0,5,30047386
לגטהומ,סלאנעפמםû,zte,blade a5,black,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30047388b.jpg,https://www.mvideo.ru/products/smartfon-zte-blade-a5-2020-black-30047388,4.9,7,30047388
לגטהומ,סלאנעפמםû,realme,c11,pepper grey,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30051412b.jpg,https://www.mvideo.ru/products/smartfon-realme-c11-232gb-pepper-grey-rmx2185-30051412,4.8,13,30051412
לגטהומ,סלאנעפמםû,huawei,y5,sapphire blue,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30043659b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y5-2019-sapphire-blue-amn-lx9-30043659,4.7,26,30043659
לגטהומ,סלאנעפמםû,zte,blade a5,blue,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30047387b.jpg,https://www.mvideo.ru/products/smartfon-zte-blade-a5-2020-blue-30047387,5.0,6,30047387
לגטהומ,סלאנעפמםû,huawei,y5,classic black,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30043657b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y5-2019-classic-black-amn-lx9-30043657,4.7,22,30043657
לגטהומ,סלאנעפמםû,vivo,y1s,סטםÿÿ גמכםא,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30051299b.jpg,https://www.mvideo.ru/products/smartfon-vivo-y1s-sinyaya-volna-2015-30051299,4.7,12,30051299
לגטהומ,סלאנעפמםû,huawei,y5,amberbrown,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30043658b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y5-2019-amberbrown-amn-lx9-30043658,4.5,23,30043658
לגטהומ,סלאנעפמםû,zte,blade a7,blue,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30047389b.jpg,https://www.mvideo.ru/products/smartfon-zte-blade-a7-2020-232gb-blue-30047389,4.9,7,30047389
לגטהומ,סלאנעפמםû,honor,7a prime,midnight black,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30048741b.jpg,https://www.mvideo.ru/products/smartfon-honor-7a-prime-32gb-midnight-black-dua-l22-30048741,0.0,0,30048741
לגטהומ,סלאנעפמםû,honor,7a prime,navy blue,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30048742b.jpg,https://www.mvideo.ru/products/smartfon-honor-7a-prime-32gb-navy-blue-dua-l22-30048742,0.0,0,30048742
לגטהומ,סלאנעפמםû,honor,7a prime,emerald green,2,32,7990,//img.mvideo.ru/pdb/small_pic/480/30048743b.jpg,https://www.mvideo.ru/products/smartfon-honor-7a-prime-32gb-emerald-green-dua-l22-30048743,0.0,0,30048743
לגטהומ,סלאנעפמםû,samsung,galaxy a10,black,2,32,8490,//img.mvideo.ru/pdb/small_pic/480/30043603b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a10-2019-32gb-black-sm-a105f-30043603,4.4,82,30043603
לגטהומ,סלאנעפמםû,xiaomi,redmi 9c,midnight gray,2,32,8990,//img.mvideo.ru/pdb/small_pic/480/30052571b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9c-nfc-232gb-midnight-gray-30052571,5.0,2,30052571
לגטהומ,סלאנעפמםû,huawei,y6s,starry black,3,64,8990,//img.mvideo.ru/pdb/small_pic/480/30047035b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y6s-starry-black-jat-lx1-30047035,4.8,13,30047035
לגטהומ,סלאנעפמםû,xiaomi,redmi 9c,sunrise orange,2,32,8990,//img.mvideo.ru/pdb/small_pic/480/30052572b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9c-nfc-232gb-sunrise-orange-30052572,4.0,2,30052572
לגטהומ,סלאנעפמםû,honor,8s prime,midnight black,3,64,8990,//img.mvideo.ru/pdb/small_pic/480/30048757b.jpg,https://www.mvideo.ru/products/smartfon-honor-8s-prime-64gb-midnight-black-ksa-lx9-30048757,5.0,1,30048757
לגטהומ,סלאנעפמםû,highscreen,power five max 2,brown,3,32,8990,//img.mvideo.ru/pdb/small_pic/480/30046368b.jpg,https://www.mvideo.ru/products/smartfon-highscreen-power-five-max-2-332gb-brown-30046368,0.0,0,30046368
לגטהומ,סלאנעפמםû,zte,blade a7,black,3,64,9290,//img.mvideo.ru/pdb/small_pic/480/30047402b.jpg,https://www.mvideo.ru/products/smartfon-zte-blade-a7-2020-364gb-black-30047402,4.7,11,30047402
לגטהומ,סלאנעפמםû,samsung,galaxy m01,blue,3,32,9490,//img.mvideo.ru/pdb/small_pic/480/30052709b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-m01-32gb-blue-sm-m015f-ds-30052709,5.0,2,30052709
לגטהומ,סלאנעפמםû,samsung,galaxy m01,black,3,32,9490,//img.mvideo.ru/pdb/small_pic/480/30052708b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-m01-32gb-black-sm-m015f-ds-30052708,0.0,0,30052708
לגטהומ,סלאנעפמםû,samsung,galaxy m01,red,3,32,9490,//img.mvideo.ru/pdb/small_pic/480/30052710b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-m01-32gb-red-sm-m015f-ds-30052710,5.0,1,30052710
לגטהומ,סלאנעפמםû,huawei,y6p,emerald green,3,64,9990,//img.mvideo.ru/pdb/small_pic/480/30049667b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y6p-emerald-green-med-lx9n-30049667,4.8,51,30049667
לגטהומ,סלאנעפמםû,samsung,galaxy a11,black,2,32,9990,//img.mvideo.ru/pdb/small_pic/480/30050906b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a11-32gb-black-sm-a115f-dsn-30050906,3.9,12,30050906
לגטהומ,סלאנעפמםû,huawei,y6p,midnight black,3,64,9990,//img.mvideo.ru/pdb/small_pic/480/30049666b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y6p-midnight-black-med-lx9n-30049666,4.7,31,30049666
לגטהומ,סלאנעפמםû,vivo,y11,סטםטי אךגאלאנטם,3,32,9990,//img.mvideo.ru/pdb/small_pic/480/30046148b.jpg,https://www.mvideo.ru/products/smartfon-vivo-y11-sinii-akvamarin-1906-30046148,4.9,85,30046148
לגטהומ,סלאנעפמםû,vivo,y11,ךנאסםûי אדאע,3,32,9990,//img.mvideo.ru/pdb/small_pic/480/30046149b.jpg,https://www.mvideo.ru/products/smartfon-vivo-y11-krasnyi-agat-1906-30046149,4.9,75,30046149
לגטהומ,סלאנעפמםû,realme,c3 frozen,blue,3,64,9990,//img.mvideo.ru/pdb/small_pic/480/30048601b.jpg,https://www.mvideo.ru/products/smartfon-realme-c3-364gb-nfc-frozen-blue-rmx2020-30048601,4.9,24,30048601
לגטהומ,סלאנעפמםû,realme,c3 volcano,grey,3,64,9990,//img.mvideo.ru/pdb/small_pic/480/30049951b.jpg,https://www.mvideo.ru/products/smartfon-realme-c3-364gb-nfc-volcano-grey-rmx2020-30049951,4.9,8,30049951
לגטהומ,סלאנעפמםû,honor,8a prime,navy blue,3,64,9990,//img.mvideo.ru/pdb/small_pic/480/30048075b.jpg,https://www.mvideo.ru/products/smartfon-honor-8a-prime-64gb-navy-blue-jat-lx1-30048075,4.8,18,30048075
לגטהומ,סלאנעפמםû,samsung,galaxy a11,white,2,32,9990,//img.mvideo.ru/pdb/small_pic/480/30050908b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a11-32gb-white-sm-a115f-dsn-30050908,0.0,0,30050908
לגטהומ,סלאנעפמםû,samsung,galaxy a11,red,2,32,9990,//img.mvideo.ru/pdb/small_pic/480/30050907b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a11-32gb-red-sm-a115f-dsn-30050907,5.0,1,30050907
לגטהומ,סלאנעפמםû,honor,8a prime,emerald green,3,64,9990,//img.mvideo.ru/pdb/small_pic/480/30048076b.jpg,https://www.mvideo.ru/products/smartfon-honor-8a-prime-64gb-emerald-green-jat-lx1-30048076,4.0,3,30048076
לגטהומ,סלאנעפמםû,realme,c3 blazing,red,3,64,9990,//img.mvideo.ru/pdb/small_pic/480/30048602b.jpg,https://www.mvideo.ru/products/smartfon-realme-c3-364gb-nfc-blazing-red-rmx2020-30048602,5.0,5,30048602
לגטהומ,סלאנעפמםû,doogee,s40,fire orange,3,32,9990,//img.mvideo.ru/pdb/small_pic/480/30048586b.jpg,https://www.mvideo.ru/products/smartfon-doogee-s40-332gb-fire-orange-30048586,5.0,1,30048586
לגטהומ,סלאנעפמםû,vsmart,joy 3+,violet,4,64,9990,//img.mvideo.ru/pdb/small_pic/480/30054144b.jpg,https://www.mvideo.ru/products/smartfon-vsmart-joy-3-464gb-violet-v430-30054144,0.0,0,30054144
לגטהומ,סלאנעפמםû,vsmart,joy 3+,black,4,64,9990,//img.mvideo.ru/pdb/small_pic/480/30054143b.jpg,https://www.mvideo.ru/products/smartfon-vsmart-joy-3-464gb-black-v430-30054143,0.0,0,30054143
לגטהומ,סלאנעפמםû,motorola,moto e7,plus blue,4,64,9990,//img.mvideo.ru/pdb/small_pic/480/30053036b.jpg,https://www.mvideo.ru/products/smartfon-motorola-moto-e7-plus-blue-xt2081-2-30053036,0.0,0,30053036
לגטהומ,סלאנעפמםû,vsmart,joy 3+,white pearl,4,64,9990,//img.mvideo.ru/pdb/small_pic/480/30054145b.jpg,https://www.mvideo.ru/products/smartfon-vsmart-joy-3-464gb-white-pearl-v430-30054145,0.0,0,30054145
לגטהומ,סלאנעפמםû,nokia,2.4,blue,3,64,9990,//img.mvideo.ru/pdb/small_pic/480/30054124b.jpg,https://www.mvideo.ru/products/smartfon-nokia-24-232gb-blue-ta-1270-30054124,0.0,0,30054124
לגטהומ,סלאנעפמםû,nokia,2.4,purple,2,32,9990,//img.mvideo.ru/pdb/small_pic/480/30053325b.jpg,https://www.mvideo.ru/products/smartfon-nokia-24-232gb-purple-ta-1270-30053325,0.0,0,30053325
לגטהומ,סלאנעפמםû,doogee,y9 plus,jewelry blue,4,64,10390,//img.mvideo.ru/pdb/small_pic/480/30047418b.jpg,https://www.mvideo.ru/products/smartfon-doogee-y9-plus-jewelry-blue-30047418,5.0,1,30047418
לגטהומ,סלאנעפמםû,doogee,y9 plus,dreamy purple,4,64,10390,//img.mvideo.ru/pdb/small_pic/480/30047417b.jpg,https://www.mvideo.ru/products/smartfon-doogee-y9-plus-dreamy-purple-30047417,5.0,1,30047417
לגטהומ,סלאנעפמםû,doogee,y9 plus,sky black,4,64,10390,//img.mvideo.ru/pdb/small_pic/480/30047419b.jpg,https://www.mvideo.ru/products/smartfon-doogee-y9-plus-sky-black-30047419,0.0,0,30047419
לגטהומ,סלאנעפמםû,doogee,s40,mineral black,3,32,10490,//img.mvideo.ru/pdb/small_pic/480/30048585b.jpg,https://www.mvideo.ru/products/smartfon-doogee-s40-332gb-mineral-black-30048585,5.0,1,30048585
לגטהומ,סלאנעפמםû,oppo,a5,mirror black,3,64,10990,//img.mvideo.ru/pdb/small_pic/480/30045964b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a5-2020-mirror-black-cph1931-30045964,4.8,117,30045964
לגטהומ,סלאנעפמםû,oppo,a5,dazzling white,3,64,10990,//img.mvideo.ru/pdb/small_pic/480/30045963b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a5-2020-dazzling-white-cph1931-30045963,4.8,83,30045963
לגטהומ,סלאנעפמםû,honor,9a,midnight black,3,64,10990,//img.mvideo.ru/pdb/small_pic/480/30049335b.jpg,https://www.mvideo.ru/products/smartfon-honor-9a-midnight-black-moa-lx9n-30049335,4.6,32,30049335
לגטהומ,סלאנעפמםû,honor,9a,phantom blue,3,64,10990,//img.mvideo.ru/pdb/small_pic/480/30049336b.jpg,https://www.mvideo.ru/products/smartfon-honor-9a-phantom-blue-moa-lx9n-30049336,4.4,34,30049336
לגטהומ,סלאנעפמםû,vivo,y12,ךנאסםûי בףנדףםהט,3,64,10990,//img.mvideo.ru/pdb/small_pic/480/30045552b.jpg,https://www.mvideo.ru/products/smartfon-vivo-y12-krasnyi-burgundi-1904-30045552,4.9,75,30045552
לגטהומ,סלאנעפמםû,honor,9a,ice green,3,64,10990,//img.mvideo.ru/pdb/small_pic/480/30049337b.jpg,https://www.mvideo.ru/products/smartfon-honor-9a-ice-green-moa-lx9n-30049337,4.5,21,30049337
לגטהומ,סלאנעפמםû,vivo,y12,למנסךאÿ גמכםא,3,64,10990,//img.mvideo.ru/pdb/small_pic/480/30045551b.jpg,https://www.mvideo.ru/products/smartfon-vivo-y12-morskaya-volna-1904-30045551,4.8,70,30045551
לגטהומ,סלאנעפמםû,huawei,y7,aurora blue,3,32,10990,//img.mvideo.ru/pdb/small_pic/480/30042801b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y7-2019-dub-lx1-aurora-blue-30042801,4.7,50,30042801
לגטהומ,סלאנעפמםû,huawei,y7,midnight black,3,32,10990,//img.mvideo.ru/pdb/small_pic/480/30042802b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y7-2019-dub-lx1-midnight-black-30042802,4.7,26,30042802
לגטהומ,סלאנעפמםû,huawei,y7,aurora purple,4,64,10990,//img.mvideo.ru/pdb/small_pic/480/30048485b.jpg,https://www.mvideo.ru/products/smartfon-huawei-y7-2019-464gb-aurora-purple-dub-lx1-30048485,4.4,13,30048485
לגטהומ,סלאנעפמםû,oppo,a31,lake green,4,64,10990,//img.mvideo.ru/pdb/small_pic/480/30048334b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a31-464gb-lake-green-cph2015-30048334,4.2,6,30048334
לגטהומ,סלאנעפמםû,nokia,2.4,grey,3,64,10490,//img.mvideo.ru/pdb/small_pic/480/30053583b.jpg,https://www.mvideo.ru/products/smartfon-nokia-24-364gb-grey-ta-1270-30053583,5.0,1,30053583
לגטהומ,סלאנעפמםû,highscreen,power five max 2,black,4,64,10990,//img.mvideo.ru/pdb/small_pic/480/30046369b.jpg,https://www.mvideo.ru/products/smartfon-highscreen-power-five-max-2-464gb-black-30046369,5.0,1,30046369
לגטהומ,סלאנעפמםû,nokia,2.4,blue,3,64,10490,//img.mvideo.ru/pdb/small_pic/480/30054125b.jpg,https://www.mvideo.ru/products/smartfon-nokia-24-364gb-blue-ta-1270-30054125,0.0,0,30054125
לגטהומ,סלאנעפמםû,nokia,2.4,purple,3,64,10490,//img.mvideo.ru/pdb/small_pic/480/30053326b.jpg,https://www.mvideo.ru/products/smartfon-nokia-24-364gb-purple-ta-1270-30053326,0.0,0,30053326
לגטהומ,סלאנעפמםû,highscreen,power five max 2,blue,4,64,10990,//img.mvideo.ru/pdb/small_pic/480/30046700b.jpg,https://www.mvideo.ru/products/smartfon-highscreen-power-five-max-2-464gb-blue-30046700,0.0,0,30046700
לגטהומ,סלאנעפמםû,samsung,galaxy m11,black,3,32,11490,//img.mvideo.ru/pdb/small_pic/480/30049750b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-m11-32gb-black-sm-m115f-30049750,4.7,7,30049750
לגטהומ,סלאנעפמםû,samsung,galaxy m11,violet,3,32,11490,//img.mvideo.ru/pdb/small_pic/480/30049751b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-m11-32gb-violet-sm-m115f-30049751,5.0,4,30049751
לגטהומ,סלאנעפמםû,oppo,a53,electric black,4,64,11990,//img.mvideo.ru/pdb/small_pic/480/30053593b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-electric-black-cph2127-30053593,5.0,5,30053593
לגטהומ,סלאנעפמםû,honor,20e,phantom blue,4,64,11990,//img.mvideo.ru/pdb/small_pic/480/30052791b.jpg,https://www.mvideo.ru/products/smartfon-honor-20e-464gb-phantom-blue-hry-lx1t-30052791,0.0,0,30052791
לגטהומ,סלאנעפמםû,huawei,p40 lite,eaurora blue,4,64,11990,//img.mvideo.ru/pdb/small_pic/480/30050497b.jpg,https://www.mvideo.ru/products/smartfon-huawei-p40-lite-e-nfc-aurora-blue-art-l29n-30050497,4.8,10,30050497
לגטהומ,סלאנעפמםû,oppo,a53,fancy blue,4,64,11990,//img.mvideo.ru/pdb/small_pic/480/30053595b.jpg,https://www.mvideo.ru/products/smartfon-oppo-a53-464gb-fancy-blue-cph2127-30053595,0.0,0,30053595
לגטהומ,סלאנעפמםû,xiaomi,redmi 9,sunset purple,3,32,11990,//img.mvideo.ru/pdb/small_pic/480/30051232b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9-332gb-sunset-purple-30051232,4.7,3,30051232
לגטהומ,סלאנעפמםû,xiaomi,redmi 9,ocean green,3,32,11990,//img.mvideo.ru/pdb/small_pic/480/30051233b.jpg,https://www.mvideo.ru/products/smartfon-xiaomi-redmi-9-332gb-ocean-green-30051233,4.8,5,30051233
לגטהומ,סלאנעפמםû,huawei,p40 lite,emidnight black,4,64,11990,//img.mvideo.ru/pdb/small_pic/480/30050496b.jpg,https://www.mvideo.ru/products/smartfon-huawei-p40-lite-e-nfc-midnight-black-art-l29n-30050496,4.0,4,30050496
לגטהומ,סלאנעפמםû,realme,c15,seagull silver,4,64,11990,//img.mvideo.ru/pdb/small_pic/480/30052748b.jpg,https://www.mvideo.ru/products/smartfon-realme-c15-464gb-seagull-silver-rmx2180-30052748,5.0,4,30052748
לגטהומ,סלאנעפמםû,motorola,g9,play blue,4,64,11990,//img.mvideo.ru/pdb/small_pic/480/30053043b.jpg,https://www.mvideo.ru/products/smartfon-motorola-g9-play-xt2083-3-blue-30053043,5.0,1,30053043
לגטהומ,סלאנעפמםû,honor,9c,aurora blue,4,64,12990,//img.mvideo.ru/pdb/small_pic/480/30049338b.jpg,https://www.mvideo.ru/products/smartfon-honor-9c-aurora-blue-aka-l29-30049338,4.6,53,30049338
לגטהומ,סלאנעפמםû,samsung,galaxy a20s,black,3,32,11990,//img.mvideo.ru/pdb/small_pic/480/30046493b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a20s-black-32gb-sm-a207f-ds-30046493,5.0,2,30046493
לגטהומ,סלאנעפמםû,huawei,p40 lite e,aurora blue,4,64,12990,//img.mvideo.ru/pdb/small_pic/480/30048483b.jpg,https://www.mvideo.ru/products/smartfon-huawei-p40-lite-e-aurora-blue-art-l29-30048483,4.7,91,30048483
לגטהומ,סלאנעפמםû,samsung,galaxy a20s,blue,3,32,11990,//img.mvideo.ru/pdb/small_pic/480/30046492b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a20s-blue-32gb-sm-a207f-ds-30046492,4.0,7,30046492
לגטהומ,סלאנעפמםû,honor,9c,midnight black,4,64,12990,//img.mvideo.ru/pdb/small_pic/480/30049339b.jpg,https://www.mvideo.ru/products/smartfon-honor-9c-midnight-black-aka-l29-30049339,5.0,26,30049339
לגטהומ,סלאנעפמםû,samsung,galaxy a20s,red,3,32,11990,//img.mvideo.ru/pdb/small_pic/480/30046491b.jpg,https://www.mvideo.ru/products/smartfon-samsung-galaxy-a20s-red-32gb-sm-a207f-ds-30046491,4.6,5,30046491
לגטהומ,סלאנעפמםû,huawei,p40 lite e,midnight black,4,64,12990,//img.mvideo.ru/pdb/small_pic/480/30048482b.jpg,https://www.mvideo.ru/products/smartfon-huawei-p40-lite-e-midnight-black-art-l29-30048482,4.6,32,30048482
לגטהומ,סלאנעפמםû,highscreen,max 3,red,4,64,12990,//img.mvideo.ru/pdb/small_pic/480/30046366b.jpg,https://www.mvideo.ru/products/smartfon-highscreen-max-3-red-30046366,0.0,0,30046366
